"Facility_hydroid","Facility","Use_Type","Locality","FIPS_code","dh_geofield"
71648,"PAINT BANK FISH CULTURAL STA.","agriculture","Craig",51045,"POINT (-80.246111111111 37.554166666667)"
71649,"NONESUCH NURSERY","irrigation","Prince Edward",51147,"POINT (-78.6810015 37.2637421)"
71650,"LAKEVIEW GOLF COURSE","commercial","Rockingham",51165,"POINT (-78.835277777778 38.389722222222)"
71651,"Urbanna Harbour","municipal","Middlesex",51119,"POINT (-76.59584016 37.66820861)"
71652,"KEYSVILLE WTP","municipal","Charlotte",51037,"POINT (-78.465277777778 37.054166666667)"
71654,"BLUEFIELD WTP","municipal","Tazewell",51185,"POINT (-81.284722222222 37.237777777778)"
71655,"ISLE OF PINES SERVICE AREA abandon tied into SML Cental","municipal","Bedford County",51019,"POINT (-79.623333333333 37.101111111111)"
71656,"CATLETT SYSTEM","municipal","Fauquier",51061,"POINT (-77.638888888889 38.653333333333)"
71657,"OLE MONTEREY GOLF CLUB","commercial","Roanoke County",51161,"POINT (-79.926 37.325)"
71659,"Cypress Creek Golfers Club","commercial","Isle of Wight",51093,"POINT (-76.627783 36.960365)"
71661,"COKE OVENS","mining","Buchanan",51027,"POINT (-82.038055555556 37.234166666667)"
71662,"VIRGINIA BEACH KOA CAMPGROUND","commercial","Virginia Beach",51810,"POINT (-75.993888888889 36.789722222222)"
71663,"MCCLURE #1 MINE & PREP PLANT","mining","Dickenson",51051,"POINT (-82.514722222222 37.105277777778)"
71664,"LAUREL FORK MINE NO. 12","mining","Buchanan",51027,"POINT (-82.864444444444 37.231111111111)"
71667,"LOVES SERVICE AREA","municipal","Carroll",51035,"POINT (-99 99)"
71668,"CARROLL COUNTY REGIONAL","municipal","Carroll",51035,"POINT (-99 99)"
71669,"Heritage Hall #10 Nursing Home","municipal","King George",51099,"POINT (-77.194447 38.275558)"
71670,"QUEENFIELD FARM","irrigation","King William",51101,"POINT (-77.186008 37.697185)"
71671,"LEBANON SERVICE AREA","municipal","Russell",51167,"POINT (-82.083333333333 36.9)"
71674,"GREEN HILL DAIRY","irrigation","Smyth",51173,"POINT (-99 -99)"
71676,"M & L PRODUCE INC","irrigation","Carroll",51035,"POINT (-99 -99)"
71678,"AKERS FARM","irrigation","Carroll",51035,"POINT (-80.693896 36.716341)"
71679,"Brann Farms","irrigation","Montgomery",51121,"POINT (-80.44787778 37.09251389)"
71680,"Montclair Country Club","commercial","Prince William",51153,"POINT (-77.3365718 38.6036475)"
71681,"DOE RUN LODGE SERVICE AREA","municipal","Carroll",51035,"POINT (-80.5375 36.639722222222)"
71682,"EAST CARTER VALLEY","municipal","Scott",51169,"POINT (-82.529166666667 36.602222222222)"
71683,"WINCHESTER PLANT","manufacturing","Winchester",51840,"POINT (-78.176388888889 39.156944444444)"
71684,"BIG ROCK NO.  8 PREP PLANT","mining","Buchanan",51027,"POINT (-82.194444444444 37.355555555556)"
71685,"Blue Ridge Country Club","commercial","Carroll",51035,"POINT (-80.85881 36.71143)"
71686,"WALTER PERKINS","irrigation","Lunenburg",51111,"POINT (-99 -99)"
71687,"LOVINGSTON SERVICE AREA","municipal","Nelson",51125,"POINT (-78.869444444444 37.76)"
71688,"FINCASTLE SERVICE AREA","municipal","Botetourt",51023,"POINT (-79.879444444444 37.499166666667)"
71689,"SCHUYLER SERVICE AREA","municipal","Nelson",51125,"POINT (-78.702222222222 37.791111111111)"
71690,"Guilford Heights Subdivision","municipal","Surry",51181,"POINT (-76.97345833 37.16638889)"
71691,"CEDARBROOKE","municipal","Culpeper",51047,"POINT (-78.032775 38.4394)"
71692,"WINDY HILL SPORTS COMPLEX","commercial","Chesterfield",51041,"POINT (-77.719031 37.512144)"
71693,"WINTERGREEN MTN SERVICE AREA","municipal","Nelson",51125,"POINT (-78.944444444444 37.913888888889)"
71694,"ROBERT E NUCKOLS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
71697,"The Country Club of Culpeper Golf Course","commercial","Culpeper",51047,"POINT (-78.014539 38.465616)"
71701,"Greenhouse","irrigation","Augusta",51015,"POINT (-78.9360449 38.1715639)"
71703,"HARMAN MINE & PREP PLANT","mining","Buchanan",51027,"POINT (-82.205 37.291111111111)"
71704,"Kanawha Club","commercial","Goochland",51075,"POINT (-77.743038 37.612194)"
71707,"ABEL LAKE WTP","municipal","Stafford",51179,"POINT (-77.471666666667 38.388333333333)"
71708,"ST. TAMMANYS LANDING","municipal","Mecklenburg",51117,"POINT (-78.087294 36.560692)"
71711,"BRUCE H ADAMS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
71712,"ADAMS GROVE SERVICE AREA","municipal","Westmoreland",51193,"POINT (-76.665277777778 38.047222222222)"
71713,"SHENANDOAH RETREAT","municipal","Clarke",51043,"POINT (-77.863888888889 39.134722222222)"
71714,"MCCLURE WTP","municipal","Dickenson",51051,"POINT (-82.373611111111 37.6)"
71716,"B S MATTHEWS AND SONS","irrigation","Accomack",51001,"POINT (-99 -99)"
71718,"LLOYD A OUTTEN JR","irrigation","Northampton",51131,"POINT (-99 -99)"
71719,"AUBREY H LEWIS","irrigation","Accomack",51001,"POINT (-99 -99)"
71721,"SMITHFIELD GARDENS","irrigation","Isle of Wight",51093,"POINT (-99 -99)"
71722,"T HUME DIXON III","irrigation","Northampton",51131,"POINT (-99 -99)"
71723,"BOTETOURT FOREST","municipal","Botetourt",51023,"POINT (-79.882728 37.356642)"
71724,"Appleland Sport Center","commercial","Frederick",51069,"POINT (-78.21028 39.10039)"
71727,"BIG ROCK NO. 14 PREP PLANT","mining","Buchanan",51027,"POINT (-82.204166666667 37.349444444444)"
71729,"POUNDING MILL PLANT","mining","Tazewell",51185,"POINT (-81.706111111111 37.078333333333)"
71730,"PRESIDENTIAL LAKES","municipal","King George",51099,"POINT (-77.243869 38.296631)"
71731,"Hat Creek Golf Course","commercial","Campbell",51031,"POINT (-78.935253 37.10385)"
71732,"WELLMORE NO. 20 PREP PLANT","mining","Buchanan",51027,"POINT (-82.15 37.35)"
71736,"LAWYERS ROAD PLANT","mining","Campbell",51031,"POINT (-79.195277777778 37.305277777778)"
71738,"MONTPELIER PLANT","mining","Hanover",51085,"POINT (-77.712777777778 37.776666666667)"
71740,"STAGECOACH HILLS","municipal","Fluvanna",51065,"POINT (-78.307756 37.870947)"
71741,"COEBURN WTP","municipal","Wise",51195,"POINT (-82.412777777778 36.977777777778)"
71743,"DUNGANNON SERVICE AREA","municipal","Scott",51169,"POINT (-82.466666666667 36.827777777778)"
71745,"Pulaski Golf Course","commercial","Pulaski",51155,"POINT (-80.762892 37.104378)"
71746,"LEBANON WTP","municipal","Russell",51167,"POINT (-82.038055555556 36.897777777778)"
71747,"HEATHERSTONE","municipal","Botetourt",51023,"POINT (-79.828611 37.367214)"
71748,"PETERSBURG, COUNTRY CLUB OF ","commercial","Prince George",51149,"POINT (-77.38365 37.16902)"
71749,"WATSON GAP SERVICE AREA","municipal","Smyth",51173,"POINT (-81.727777777778 36.909722222222)"
71755,"PENN FARM","irrigation","Westmoreland",51193,"POINT (-77.0054447 38.1462534)"
71756,"OAK HILL ACADEMY","commercial","Grayson",51077,"POINT (-81.3375 36.593888888889)"
71757,"BLUEFIELD PLANT","mining","Tazewell",51185,"POINT (-81.320555555556 37.2375)"
71758,"CENTRAL SYSTEM SERVICE AREA","municipal","Campbell",51031,"POINT (-79.259722222222 37.318055555556)"
71761,"Mountain View #1","municipal","Culpeper",51047,"POINT (-77.99758 38.50379)"
71762,"LAKE CAROLINE","municipal","Caroline",51033,"POINT (-77.504506 37.986114)"
71763,"RICHMOND COUNTRY CLUB, INC","commercial","Goochland",51075,"POINT (-77.677032 37.606884)"
71764,"CHARLTON B STRANGE JR","irrigation","Pittsylvania",51143,"POINT (-79.487288 36.574915)"
71766,"POCAHONTAS WTP","municipal","Tazewell",51185,"POINT (-81.340277777778 37.304166666667)"
71767,"SMITH LAKE WTP","municipal","Stafford",51179,"POINT (-77.398888888889 38.482777777778)"
71768,"Belview","municipal","Montgomery",51121,"POINT (-80.426388888889 37.189722222222)"
71769,"Brookside Par 3","commercial","Roanoke County",51161,"POINT (-79.953633 37.334223)"
71770,"WATERS EDGE COUNTRY CLUB, THE ","commercial","Franklin County",51067,"POINT (-79.618911 37.023642)"
71774,"BISHOP SERVICE AREA","municipal","Tazewell",51185,"POINT (-81.559722222222 37.208333333333)"
71776,"SALTVILLE SERVICE AREA","municipal","Smyth",51173,"POINT (-81.764444444445 36.875)"
71777,"APPALACHIAN DETENTION CENTER","commercial","Russell",51167,"POINT (-81.929166666667 36.999166666667)"
71779,"ROCKY GAP PLANT","mining","Bland",51021,"POINT (-81.095833333333 37.236111111111)"
71781,"SCOTTSVILLE WTP","municipal","Albemarle",51003,"POINT (-78.5 37.808333333333)"
71782,"Providence Golf Club","commercial","Chesterfield",51041,"POINT (-77.557572 37.486353)"
71783,"WAKENVA PREPARATION PLANT","mining","Dickenson",51051,"POINT (-82.320833333333 37.033333333333)"
71784,"CLAYPOOL HILL SERVICE AREA","municipal","Tazewell",51185,"POINT (-81.752222222222 37.0625)"
71785,"DEEP MINE 26 (VC-5)","mining","Dickenson",51051,"POINT (-82.520833333333 37.103611111111)"
71786,"FOREST GROVE SERVICE AREA","municipal","Prince William",51153,"POINT (-77.434722222222 38.663888888889)"
71787,"STRASBURG WTP","municipal","Shenandoah",51171,"POINT (-78.369444444444 38.989444444444)"
71788,"Waterfront 2-9","municipal","Franklin County",51067,"POINT (-79.651584863663 37.101249867347)"
71792,"KELLEY FARMS INC.","irrigation","Accomack",51001,"POINT (-99 -99)"
71793,"BEN F. KELLAM JR. ESTATE","irrigation","Northampton",51131,"POINT (-99 -99)"
71794,"BUSHSWAMP FARMS","irrigation","Accomack",51001,"POINT (-99 -99)"
71795,"HOPELAND FARMS INC.","irrigation","Accomack",51001,"POINT (-99 -99)"
71799,"CASTLEWOOD SERVICE AREA","municipal","Russell",51167,"POINT (-82.278333333333 36.890277777778)"
71801,"JOHNSON FARM","irrigation","Accomack",51001,"POINT (-99 -99)"
71804,"BLACK FARMS","irrigation","Northampton",51131,"POINT (-75.98111111111 37.26)"
71805,"LURAY HYDROPOWER PLANT","hydropower","Page",51139,"POINT (-78.499444444445 38.676944444444)"
71806,"KELLAM FARM","irrigation","Northampton",51131,"POINT (-75.956388888889 37.2425)"
71807,"CLOVER POWER PLANT","fossilpower","Halifax",51083,"POINT (-78.705555555556 36.87)"
71808,"JETTY'S REACH","municipal","Northumberland",51133,"POINT (-76.261111111111 37.897222222222)"
71809,"SHENANDOAH VALLEY GOLF CLUB","commercial","Warren",51187,"POINT (-78.129722222222 38.992777777778)"
71810,"JAMES RIVER CORR. CNTR WTP","municipal","Goochland",51075,"POINT (-77.823611111111 37.624166666667)"
71811,"PIANKATANK RIVER GOLF CLUB","commercial","Middlesex",51119,"POINT (-76.481085 37.541681)"
71812,"JARRATT WTP","municipal","Greensville",51081,"POINT (-77.473611111111 36.816666666667)"
71813,"DREWER FARM (DEL MONTE)","irrigation","Accomack",51001,"POINT (-75.847968 37.571611)"
71814,"NEW MARKET PLANT","manufacturing","Shenandoah",51171,"POINT (-78.701666666667 38.6575)"
71819,"COUNTRY CLUB OF FAIRFAX","commercial","Fairfax County",51059,"POINT (-77.311111111111 38.847222222222)"
71821,"River Ridge Golf and Camping Club","commercial","Mecklenburg",51117,"POINT (-78.143143 36.579567)"
71822,"BALLYHACK GOLF CLUB","commercial","Roanoke City",51770,"POINT (-79.89012 37.2265)"
71823,"GARLAND GRAY FORESTRY CENTER","irrigation","Sussex",51183,"POINT (-77.173055555556 36.858333333333)"
71824,"JOSEPH L SEAMSTER","irrigation","Charlotte",51037,"POINT (-99 -99)"
71825,"ARVONIA PLANT","mining","Buckingham",51029,"POINT (-78.326944444445 37.711944444444)"
71826,"JENKINS FLORIST INC","irrigation","Caroline",51033,"POINT (-99 -99)"
71829,"ROCK HARBOR GOLF COURSE","commercial","Frederick",51069,"POINT (-78.2070691 39.181793)"
71830,"WINCHESTER GOLF CLUB","commercial","Frederick",51069,"POINT (-78.145833333333 39.170833333333)"
71831,"BOONES MILL SERVICE AREA","municipal","Franklin County",51067,"POINT (-79.955277777778 37.1175)"
71834,"LAKE MONTICELLO GOLF COURSE","commercial","Fluvanna",51065,"POINT (-78.32 37.899444444444)"
71835,"MOORE AND DORSEY INC","irrigation","Clarke",51043,"POINT (-77.903333333333 39.147222222222)"
71836,"ROANOKE FACILITIES","commercial","Roanoke City",51770,"POINT (-79.991666666667 37.276944444444)"
71837,"JOHN J. WRIGHT MIDDLE SCHOOL","commercial","Spotsylvania",51177,"POINT (-77.598888888889 38.155555555556)"
71838,"Irrigation Pump","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
71839,"SANDY ACRES INC","irrigation","Rockingham",51165,"POINT (-78.946477 38.353669)"
71849,"WINCHESTER SERVICE AREA","municipal","Winchester",51840,"POINT (-78.164444444444 39.184166666667)"
71850,"FRONT ROYAL FISH CULTURAL STA.","agriculture","Warren",51187,"POINT (-78.291666666667 38.95)"
71851,"Somerset Farms Golf Course (formerly Rapidan)","commercial","Orange",51137,"POINT (-77.755394 38.381251)"
71853,"BRICKHOUSE FARM","irrigation","Accomack",51001,"POINT (-99 -99)"
71854,"HERBERT W LINTHICUM","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
71855,"L G DOSS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
71857,"NOTTINGHAM FARM","irrigation","Accomack",51001,"POINT (-99 -99)"
71862,"SMITH FARM","irrigation","Accomack",51001,"POINT (-99 -99)"
71863,"SKYLINE SWANNANOA","commercial","Augusta",51015,"POINT (-78.859444444444 38.028888888889)"
71864,"BALLARD FARM","irrigation","Accomack",51001,"POINT (-99 -99)"
71866,"GARY HAISLIP","irrigation","Franklin County",51067,"POINT (-79.704028 36.909535)"
71867,"Dick Cross Wildlife Management Area (WMA)","agriculture","Mecklenburg",51117,"POINT (-78.286515 36.617562)"
71868,"SAXIS PLANT","manufacturing","Accomack",51001,"POINT (-75.73 37.920277777778)"
71870,"Dedman Intake","irrigation","Page",51139,"POINT (-78.407368 38.770594)"
71873,"NEWPORT HYDROPOWER PLANT","hydropower","Page",51139,"POINT (-78.593888888889 38.571388888889)"
71875,"PEDLAR RESERVOIR INTAKE","municipal","Amherst",51009,"POINT (-79.277777777778 37.669444444444)"
71876,"CHERITON FARMS","irrigation","Northampton",51131,"POINT (-99 -99)"
71878,"WAYSIDE FARM MARKET","irrigation","Accomack",51001,"POINT (-99 -99)"
71880,"NANCOCK FARMS","irrigation","Accomack",51001,"POINT (-75.754654 37.699341)"
71882,"FOUNDRY GOLF CLUB","commercial","Powhatan",51145,"POINT (-77.823012 37.593933)"
71886,"GRAND VIEW FARM","irrigation","Shenandoah",51171,"POINT (-99 -99)"
71889,"NOTTOWAY FARM","irrigation","Southampton",51175,"POINT (-77.145833333333 36.784166666667)"
71890,"SHADY LANE DAIRY","irrigation","Shenandoah",51171,"POINT (-78.655784 38.68461)"
71891,"Botetourt Golf and Swim Club","commercial","Botetourt",51023,"POINT (-79.927777777778 37.474722222222)"
71892,"Fire Only-Courtland Volunteer Fire Department","irrigation","Southampton",51175,"POINT (-77.043055555556 36.784166666667)"
71895,"HYCO HEIGHTS FARM","irrigation","Halifax",51083,"POINT (-99 -99)"
71898,"DALTON FARMS","irrigation","Pittsylvania",51143,"POINT (-79.270019 36.729604)"
71899,"ELLIOTT FARMS","irrigation","Pittsylvania",51143,"POINT (-79.526938 36.704243)"
71900,"MT AIRY FARM","irrigation","Shenandoah",51171,"POINT (-99 -99)"
71902,"PITTARD LEAF & BEEF FARMS","irrigation","Mecklenburg",51117,"POINT (-78.60856 36.629049)"
71903,"COPLEY FARMS","irrigation","Goochland",51075,"POINT (-77.965617 37.631707)"
71904,"BELL ACRE FARM","irrigation","King William",51101,"POINT (-99 -99)"
71905,"RIVERSIDE FARM","irrigation","Accomack",51001,"POINT (-99 -99)"
71906,"OLD TOWN FARM","irrigation","King William",51101,"POINT (-99 -99)"
71910,"WARE NECK PRODUCE","irrigation","Gloucester",51073,"POINT (-99 -99)"
71911,"ROAKES BROTHER FARM","irrigation","Campbell",51031,"POINT (-9 -9)"
71912,"RIDGEVIEW SERVICE AREA","municipal","Lee",51105,"POINT (-83.109444444444 36.683888888889)"
71915,"APPOMATTOX (TOWN) SERVICE AREA","municipal","Appomattox",51011,"POINT (-78.825555555556 37.357222222222)"
71916,"Greater Tazewell Regional WTP","municipal","Tazewell",51185,"POINT (-81.498888888889 37.126388888889)"
71917,"RIVERHILL FARMS LLC","irrigation","Rockingham",51165,"POINT (-78.784276 38.31976)"
71918,"DEBORAH GOAD / DONALD BRADY","irrigation","Carroll",51035,"POINT (-99 -99)"
71919,"WILLIAM BAIN FARMS @ Durwood Bain Farm","irrigation","Dinwiddie",51053,"POINT (-77.57083 36.961555)"
71921,"MEADOW STREAM FARM","irrigation","Rockingham",51165,"POINT (-78.937998 38.40919)"
71922,"BLACKWATER HOG FARM","irrigation","Virginia Beach",51810,"POINT (-9 -9)"
71923,"VERNE ANDERSON","irrigation","Pittsylvania",51143,"POINT (-79.493196 36.859481)"
71924,"WILLIAM BAIN FARMS @ Reese Farm","irrigation","Dinwiddie",51053,"POINT (-77.57083 36.961555)"
71925,"ROY BARNHART","irrigation","Rockingham",51165,"POINT (-99 -99)"
71926,"WALNUT HILL FARM","irrigation","Hanover",51085,"POINT (-99 -99)"
71930,"HOOT OWL HOLLOW FARMS","irrigation","Amelia",51007,"POINT (-77.980555555 37.27333)"
71931,"MOTTS RUN WTP","municipal","Spotsylvania",51177,"POINT (-77.541666666667 38.322222222222)"
71936,"BERKELEY PLANTATION","irrigation","Charles City",51036,"POINT (-77.1804566 37.3185388)"
71937,"TICONDEROGA FARMS","irrigation","Fairfax County",51059,"POINT (-77.5292196 38.8939277)"
71938,"CHANTILLY TURF FARMS INC","irrigation","Loudoun",51107,"POINT (-77.526666666667 38.949722222222)"
71939,"WALKERS CR/MIDWAY SERVICE AREA","municipal","Smyth",51173,"POINT (-81.735555555556 36.855555555556)"
71940,"YATES FARM, INC.","irrigation","Pittsylvania",51143,"POINT (-79.382519 36.72181)"
71944,"Fieldale Plant","manufacturing","Henry",51089,"POINT (-79.950833333333 36.725833333333)"
71949,"Percy D. Miller Water Treatment Plant","municipal","Warren",51187,"POINT (-78.2925 38.997777777778)"
71950,"Aquia Harbour Golf Course","commercial","Stafford",51179,"POINT (-77.37762 38.47226)"
71951,"PHILLIP EDWARDS FARMS","irrigation","Isle of Wight",51093,"POINT (-76.599886 36.954566)"
71952,"BELVEDERE PLANTATION","irrigation","Spotsylvania",51177,"POINT (-77.379845 38.24107)"
71953,"Midtown Tunnel Project","manufacturing","Portsmouth",51740,"POINT (-76.317531 36.855372)"
71955,"LYNNBRIER CREENHOUSE INC","irrigation","Chesapeake",51550,"POINT (-99 -99)"
71956,"VIRGINIA BEACH SERVICE AREA","municipal","Virginia Beach",51810,"POINT (-76.054166666667 36.751388888889)"
71957,"MARION FISH CULTURAL STATION","agriculture","Smyth",51173,"POINT (-81.477222222222 36.823611111111)"
71958,"DENNIS SPADY","irrigation","Isle of Wight",51093,"POINT (-99 -99)"
71960,"ERMA & RAYMOND REYNOLDS","irrigation","Franklin County",51067,"POINT (-99 -99)"
71964,"MAXWELL NEWTON","irrigation","Dinwiddie",51053,"POINT (-99 -99)"
71965,"WHITE HOUSE FARM","irrigation","New Kent",51127,"POINT (-77.012348 37.55672)"
71966,"FREDERICKSBURG PLANT","manufacturing","Spotsylvania",51177,"POINT (-77.435555555556 38.259444444444)"
71969,"DEER LAKE ESTATES (COLONIAL HERITAGE)","municipal","James City",51095,"POINT (-76.795833333333 37.3375)"
71972,"JOHN E KELLAM","irrigation","Accomack",51001,"POINT (-99 -99)"
71973,"KINGS GREAT FARMS INC","irrigation","Suffolk",51800,"POINT (-99 -99)"
71977,"Blue Ridge Shadows Golf Club","commercial","Warren",51187,"POINT (-78.0442 39.1029)"
71979,"GEORGE H LOVELL","irrigation","Accomack",51001,"POINT (-99 -99)"
71980,"FRANK J ETZ III","irrigation","Northampton",51131,"POINT (-99 -99)"
71981,"DAN LACY","irrigation","Halifax",51083,"POINT (-78.897376 36.747859)"
71982,"CHESDIN MANOR SUBDIVISION","municipal","Dinwiddie",51053,"POINT (-77.54096 37.225202)"
71984,"J BETTERTON","irrigation","Pittsylvania",51143,"POINT (-79.330672 36.830735)"
71985,"PLEASANT GROVE SUBDIVISION","municipal","Brunswick",51025,"POINT (-77.8367282 36.7570589)"
71986,"SIOUAN SHORES SUBDIVISION","municipal","Brunswick",51025,"POINT (-99 99)"
71987,"SUNNYBROOK SUBDIVISION","municipal","Brunswick",51025,"POINT (-99 99)"
71988,"STONY SPRINGS SUBDIVISION","municipal","Dinwiddie",51053,"POINT (-77.5635982 37.0545943)"
71990,"WHITE POST CORRECTIONAL UNIT","commercial","Clarke",51043,"POINT (-78.138055555556 39.0525)"
71991,"DILLWYN CORRECTIONAL CENTER","commercial","Buckingham",51029,"POINT (-78.470555555556 37.562777777778)"
71993,"LURAY PLANT","manufacturing","Page",51139,"POINT (-78.460555555556 38.668333333333)"
71994,"TIMBUCTU SUBDIVISION","municipal","Mecklenburg",51117,"POINT (-99 99)"
71996,"SUMMERPLACE SUBDIVISION","municipal","Suffolk",51800,"POINT (-76.442138 36.883452)"
71997,"CHESTERFIELD BERRY FARM","irrigation","Chesterfield",51041,"POINT (-77.864562 37.3834639)"
71999,"CONCORD CONCENTRATOR SITE","mining","Sussex",51183,"POINT (-77.58 36.896111111111)"
72000,"CHATHAM CORRECTIONAL UNIT","commercial","Pittsylvania",51143,"POINT (-79.426944444444 37.803333333333)"
72002,"EASTWOOD SERVICE AREA","municipal","Henry",51089,"POINT (-79.8125 36.641666666667)"
72003,"AVONDALE FARM INC","irrigation","Shenandoah",51171,"POINT (-78.619017 38.757425)"
72005,"WISE DOCK PREP PLANT","mining","Wise",51195,"POINT (-82.599444444444 36.993611111111)"
72006,"Massanutten Resort Surface Water Withdrawal Project","commercial","Rockingham",51165,"POINT (-78.7467664 38.4124611)"
72007,"GORDONSVILLE SERVICE AREA","municipal","Orange",51137,"POINT (-78.189722222222 38.1425)"
72008,"LEIGH STREET FILTER PLANT -  WTP","municipal","Halifax",51083,"POINT (-78.909722222222 36.698888888889)"
72009,"CLIFFS ON THE ROANOKE","municipal","Mecklenburg",51117,"POINT (-99 99)"
72010,"GREAT CREEK LANDING/TUDOR ESTATES","municipal","Mecklenburg",51117,"POINT (-99 99)"
72011,"MT HERMON ET AL","municipal","Pittsylvania",51143,"POINT (-79.422222222222 36.678333333333)"
72012,"HAWKS NEST POINT","municipal","Mecklenburg",51117,"POINT (-99 99)"
72016,"SALISBURY COUNTRY CLUB","commercial","Chesterfield",51041,"POINT (-77.652483 37.52736)"
72017,"Creighton Farms, The Club at ","commercial","Loudoun",51107,"POINT (-99 99)"
72018,"NiceView Farm","irrigation","Charles City",51036,"POINT (-77.084553 37.378719)"
72021,"ALTAVISTA COUNTRY CLUB","commercial","Pittsylvania",51143,"POINT (-79.311111111111 37.078888888889)"
72022,"RAPIDAN R TO HUNTING RUN RESER","municipal","Spotsylvania",51177,"POINT (-77.635833333333 38.358611111111)"
72023,"NORTH ANNA NUCLEAR POWER PLANT","nuclearpower","Louisa",51109,"POINT (-77.791666666667 38.061111111111)"
72026,"FL EDWARDS JR/REBECCA EDWARDS","irrigation","Isle of Wight",51093,"POINT (-76.630903 36.928188)"
72027,"WALTER J BARLOW","irrigation","Isle of Wight",51093,"POINT (-99 -99)"
72028,"JOHNNY DAVIS","irrigation","Caroline",51033,"POINT (-77.157295 38.15171)"
72029,"JERRY STALLINGS","irrigation","Isle of Wight",51093,"POINT (-99 -99)"
72030,"TURNER FAMILY FARMS LLC","irrigation","Dinwiddie",51053,"POINT (-77.52662 37.146963)"
72031,"YORKTOWN Terminal","manufacturing","York",51199,"POINT (-76.45 37.216666666667)"
72032,"SYDNOR - CAMP PIANKATANK","municipal","Mathews",51115,"POINT (-76.340555555556 37.499444444444)"
72033,"SYDNOR - ATLEE SQUARE","municipal","Hanover",51085,"POINT (-77.401388888889 37.649166666667)"
72034,"SYDNOR - BRAXTON'S LANDING","municipal","King William",51101,"POINT (-77.0998 37.78047)"
72035,"HANGING ROCK GOLF COURSE","commercial","Roanoke County",51161,"POINT (-80.072222222222 37.315555555556)"
72036,"ROGER L & LINDA F MARTIN","irrigation","Shenandoah",51171,"POINT (-78.683482 38.658955)"
72039,"FREDDIE M COX","irrigation","Roanoke County",51161,"POINT (-79.863859 37.316761)"
72040,"JOHN AMOS","irrigation","Pittsylvania",51143,"POINT (-79.636483 36.83554)"
72044,"The Greens at Tanyard","commercial","Louisa",51109,"POINT (-77.993055555556 38.015833333333)"
72045,"THE CROSSINGS GOLF COURSE","commercial","Henrico",51087,"POINT (-77.448611111111 37.666111111111)"
72047,"W E HUNTER","irrigation","Suffolk",51800,"POINT (-99 -99)"
72048,"Foxhill Farms","irrigation","Southampton",51175,"POINT (-77.211323 36.700532)"
72049,"F.A. HOLLAND & SONS","irrigation","Accomack",51001,"POINT (-75.4342553 38.0066552)"
72050,"OLD FARM SERVICE AREA","municipal","Page",51139,"POINT (-78.4375 38.677777777778)"
72051,"BLUE RIDGE SHORES SERVICE AREA","municipal","Louisa",51109,"POINT (-78.016666666667 38.108333333333)"
72052,"NEW CASTLE WTP","municipal","Craig",51045,"POINT (-80.114722222222 37.500555555556)"
72054,"CELCO PLANT","manufacturing","Giles",51071,"POINT (-80.7625 37.344444444444)"
72058,"WILLIAMSON LANDSCAPE INC","irrigation","Hanover",51085,"POINT (-77.76801 37.77166)"
72060,"Clear Creek Golf Club","commercial","Bristol",51520,"POINT (-82.124439 36.663489)"
72061,"JOHN HENRY BYRUM","irrigation","Isle of Wight",51093,"POINT (-99 -99)"
72064,"ALVIN MEADOWS","irrigation","Madison",51113,"POINT (-99 -99)"
72068,"SOUTH RIVER SERVICE AREA","municipal","Augusta",51015,"POINT (-79.033333333333 38.022222222222)"
72069,"LIBERTY GROVE","municipal","Brunswick",51025,"POINT (-77.8367282 36.7570589)"
72070,"NORTH RIVER FARM","irrigation","Rockingham",51165,"POINT (-79.018756 38.387282)"
72072,"DEAN HICKMAN","irrigation","Accomack",51001,"POINT (-99 -99)"
72073,"EJ SMITH/ALICE R WALKER","irrigation","Mecklenburg",51117,"POINT (-99 -99)"
72074,"MICHEAL N PALMER","irrigation","Franklin County",51067,"POINT (-79.65644 36.905317)"
72075,"EDWARD M. HENDERSON","irrigation","Powhatan",51145,"POINT (-99 -99)"
72076,"THOMAS E. GIBBS","irrigation","Dinwiddie",51053,"POINT (-99 -99)"
72077,"Lake Mooney WTP","municipal","Stafford",51179,"POINT (-77.544898838969 38.332265493356)"
72078,"NOTTOWAY FARMS","irrigation","Sussex",51183,"POINT (-99 -99)"
72079,"Stoneleigh Golf and Country Club","commercial","Loudoun",51107,"POINT (-77.788333 39.12)"
72082,"ALAN HUDSON","irrigation","Halifax",51083,"POINT (-78.779507 36.6216)"
72084,"I R INTERNATIONAL INC","commercial","Richmond City",51760,"POINT (-77.341111111111 37.5)"
72085,"JACKIE CHAPPELL","irrigation","Halifax",51083,"POINT (-79.06155 36.767753)"
72087,"SALEM GLENVAR WTP 2","municipal","Roanoke County",51161,"POINT (-80.136111111111 37.276111111111)"
72088,"A O GUNN","irrigation","Lunenburg",51111,"POINT (-99 -99)"
72089,"WAYNE PARRISH","irrigation","Lunenburg",51111,"POINT (-99 -99)"
72090,"Tanglewood Shores Golf and Country Club","commercial","Mecklenburg",51117,"POINT (-78.056904 36.576502)"
